Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion (DE-LU)
,Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2025-01-12T05:00+01:00,21871.136,26133.67858,83.75
2025-01-12T06:00+01:00,23322.78879,24526.00736,85.9
2025-01-12T07:00+01:00,24836.34158,22434.39252,101.75
2025-01-12T08:00+01:00,25435.37878,21210.87977,114.67
2025-01-12T09:00+01:00,26286.13533,22426.76178,120.07
2025-01-12T10:00+01:00,26646.81198,25179.65902,117.77
2025-01-12T11:00+01:00,26754.59824,27613.27199,105.61
2025-01-12T12:00+01:00,26155.47405,28831.17985,102.99
2025-01-12T13:00+01:00,24863.5948,28750.89141,99.61
2025-01-12T14:00+01:00,25123.31743,25635.89592,104.74
2025-01-12T15:00+01:00,27431.54744,19455.9895,118.7
2025-01-12T16:00+01:00,29810.55239,14636.65661,132.92
2025-01-12T17:00+01:00,30861.51505,14014.99274,141
2025-01-12T18:00+01:00,31141.62809,13606.53222,146.66
2025-01-12T19:00+01:00,31258.74252,13394.79256,143.66
2025-01-12T20:00+01:00,31440.57288,12548.08046,134.86
2025-01-12T21:00+01:00,31164.04048,11350.83876,127.49
2025-01-12T22:00+01:00,29872.9975,10334.41791,121.2
2025-01-12T23:00+01:00,28594.73103,9402.294484,114.9
2025-01-13T00:00+01:00,27304.0039,9121.709053,112.39
2025-01-13T01:00+01:00,26767.07598,9132.251529,105.07
2025-01-13T02:00+01:00,26713.06623,9462.118938,104.46
2025-01-13T03:00+01:00,26680.58277,10316.94423,100.37
2025-01-13T04:00+01:00,26906.14036,11886.18701,100
2025-01-13T05:00+01:00,28668.11025,12796.66384,110.11
2025-01-13T06:00+01:00,33087.14302,12965.53885,140.28
2025-01-13T07:00+01:00,35537.56438,13669.89968,181.92
2025-01-13T08:00+01:00,36636.16497,15520.81254,223.09
2025-01-13T09:00+01:00,35912.49625,20995.14653,174.09
2025-01-13T10:00+01:00,34565.23629,28031.47074,141.69
2025-01-13T11:00+01:00,33318.32127,33552.649,115.73
2025-01-13T12:00+01:00,32202.73482,35920.58376,104.1
2025-01-13T13:00+01:00,31699.39354,36444.38234,103.04
2025-01-13T14:00+01:00,32324.04597,33534.54172,104.67
2025-01-13T15:00+01:00,35460.88398,26883.35412,138.2
2025-01-13T16:00+01:00,36561.99604,22948.90756,142.62
2025-01-13T17:00+01:00,37622.83796,23429.63067,149
2025-01-13T18:00+01:00,37726.96571,25367.43269,149
2025-01-13T19:00+01:00,36586.00964,26719.50592,139.73
2025-01-13T20:00+01:00,35315.05753,26766.70606,123.18
2025-01-13T21:00+01:00,33743.78973,27915.81526,120.22
2025-01-13T22:00+01:00,32130.79716,29206.44418,115.57
2025-01-13T23:00+01:00,29933.74202,30673.83749,102.31
2025-01-14T00:00+01:00,28508.25894,30583.77878,106.38
2025-01-14T01:00+01:00,27479.59399,30980.23836,103.7
2025-01-14T02:00+01:00,27269.73375,30850.4498,99.08
2025-01-14T03:00+01:00,27418.1219,30909.47641,97.99
2025-01-14T04:00+01:00,28384.45257,30214.89318,101.88
2025-01-14T05:00+01:00,29729.20354,29843.44893,107.64
2025-01-14T06:00+01:00,33175.44026,30454.63966,123.4
2025-01-14T07:00+01:00,36061.30132,30324.3028,156.62
2025-01-14T08:00+01:00,36522.02034,32400.45953,184.03
2025-01-14T09:00+01:00,35941.39421,36785.17522,151.86
2025-01-14T10:00+01:00,34773.28854,41304.4888,117.62
2025-01-14T11:00+01:00,34077.35782,43281.52057,109.31
2025-01-14T12:00+01:00,32838.33534,44641.60801,103.11
2025-01-14T13:00+01:00,32327.72183,43918.2578,108.11
2025-01-14T14:00+01:00,33021.7254,41045.03775,115.35
2025-01-14T15:00+01:00,35279.91299,36846.92912,125.35
